work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,Intermediate,Full time,Data Scientist,55978,Netherlands,Fully remote,Netherlands,Small
2022,Senior,Full time,Data Engineer,185800,Canada,Fully remote,Canada,Medium
2022,Senior,Full time,Data Engineer,137400,Canada,Fully remote,Canada,Medium
2022,Senior,Full time,Analytics Engineer,245000,United States,No remote work,United States,Medium
2022,Senior,Full time,Analytics Engineer,180000,United States,No remote work,United States,Medium
2022,Senior,Full time,Analytics Engineer,203500,United States,No remote work,United States,Medium
2022,Senior,Full time,Analytics Engineer,152000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,250000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,63000,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Infrastructure Engineer,186000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Machine Learning Infrastructure Engineer,148800,United States,Fully remote,United States,Medium
2022,Senior,Full time,Lead Machine Learning Engineer,97515,India,Partially remote,India,Large
2022,Intermediate,Full time,Machine Learning Engineer,132725,United Kingdom,Partially remote,United Kingdom,Large
2022,Junior,Full time,Data Scientist,82000,United States,No remote work,United States,Large
2022,Junior,Part time,Data Scientist,110000,Dominican Republic,Fully remote,France,Medium
2022,Intermediate,Full time,Applied Machine Learning Scientist,173000,United States,Partially remote,United States,Medium
2022,Senior,Full time,Data Scientist,203500,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Scientist,152000,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,186000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,148800,United States,Fully remote,United States,Medium
2022,Junior,Full time,BI Data Analyst,6324,Brazil,Fully remote,Brazil,Large
2022,Intermediate,Full time,Data Science Manager,158000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Science Manager,134000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,170000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,120000,United States,Fully remote,United States,Medium
2022,Executive,Full time,Analytics Engineer,200000,United States,Fully remote,United States,Medium
2022,Executive,Full time,Analytics Engineer,150000,United States,Fully remote,United States,Medium
